Group,Subject,Rew,Block,Phase,Opt
-1,51,1,1,-1,0.25
-1,51,1,2,-1,0.75
-1,51,1,3,-1,1
-1,51,1,4,-1,1
-1,51,1,5,-1,0.86
-1,51,1,6,-1,1
-1,51,1,7,-1,1
-1,51,1,8,-1,0.8
-1,51,1,9,-1,1
-1,51,1,10,-1,1
-1,51,1,11,-1,1
-1,53,-1,0,1,0.33
-1,53,-1,1,1,0.6
-1,53,-1,2,1,0.86
-1,53,-1,3,1,1
-1,53,-1,4,1,0.4
-1,53,-1,5,1,0.78
-1,53,-1,6,1,0.67
-1,53,-1,7,1,1
-1,53,-1,8,1,0.75
-1,53,-1,9,1,1
-1,53,-1,10,1,1
-1,53,-1,11,1,0.86
-1,53,-1,0,-1,0.5
-1,53,-1,1,-1,0.83
-1,53,-1,2,-1,1
-1,53,-1,3,-1,0.8
-1,53,-1,4,-1,0.5
-1,53,-1,5,-1,0.8
-1,53,-1,6,-1,1
-1,53,-1,7,-1,1
-1,53,-1,8,-1,1
-1,53,-1,9,-1,1
-1,53,-1,10,-1,1
-1,53,-1,11,-1,0.75
-1,53,1,0,1,0.43
-1,53,1,1,1,0.6
-1,53,1,2,1,0.67
-1,53,1,3,1,0.2
-1,53,1,4,1,1
-1,53,1,5,1,1
-1,53,1,6,1,1
-1,53,1,7,1,1
-1,53,1,8,1,1
-1,53,1,9,1,1
-1,53,1,10,1,1
-1,53,1,11,1,1
-1,53,1,0,-1,0.67
-1,53,1,1,-1,1
-1,53,1,2,-1,1
-1,53,1,3,-1,1
-1,53,1,4,-1,1
-1,53,1,5,-1,1
-1,53,1,6,-1,1
-1,53,1,7,-1,1
-1,53,1,8,-1,1
-1,53,1,9,-1,1
-1,53,1,10,-1,1
-1,53,1,11,-1,1
-1,3,-1,0,1,0.83
-1,3,-1,1,1,0.67
-1,3,-1,2,1,1
-1,3,-1,3,1,0.5
-1,3,-1,4,1,0.43
-1,3,-1,5,1,0.6
-1,3,-1,6,1,1
-1,3,-1,7,1,1
-1,3,-1,8,1,1
-1,3,-1,9,1,1
-1,3,-1,10,1,1
-1,3,-1,11,1,1
-1,3,-1,0,-1,1
-1,3,-1,1,-1,0.67
-1,3,-1,2,-1,0.71
-1,3,-1,3,-1,0.8
-1,3,-1,4,-1,1
-1,3,-1,5,-1,0.75
-1,3,-1,6,-1,0.5
-1,3,-1,7,-1,0.5
-1,3,-1,8,-1,0.67
-1,3,-1,9,-1,0.4
-1,3,-1,10,-1,0.4
-1,3,-1,11,-1,0.75
-1,3,1,0,1,0.25
-1,3,1,1,1,0.57
-1,3,1,2,1,0.33
-1,3,1,3,1,0.5
-1,3,1,4,1,0
-1,3,1,5,1,0.6
-1,3,1,6,1,0.5
-1,3,1,7,1,0.67
-1,3,1,8,1,0.17
-1,3,1,9,1,0.25
-1,3,1,10,1,1
-1,3,1,11,1,0.6
-1,3,1,0,-1,0.2
-1,3,1,1,-1,0.71
-1,3,1,2,-1,0.33
-1,3,1,3,-1,0.6
-1,3,1,4,-1,0.5
-1,3,1,5,-1,0.5
-1,3,1,6,-1,0.75
-1,3,1,7,-1,0.33
-1,3,1,8,-1,0.25
-1,3,1,9,-1,0.6
-1,3,1,10,-1,0.6
-1,3,1,11,-1,0.5
-1,6,-1,0,1,0.6
-1,6,-1,1,1,0.6
-1,6,-1,2,1,0.67
-1,6,-1,3,1,1
-1,6,-1,4,1,0.75
-1,6,-1,5,1,1
-1,6,-1,6,1,1
-1,6,-1,7,1,1
-1,6,-1,8,1,1
-1,6,-1,9,1,1
-1,6,-1,10,1,1
-1,6,-1,11,1,1
-1,6,-1,0,-1,0.5
-1,6,-1,1,-1,0.8
-1,6,-1,2,-1,0.67
-1,6,-1,3,-1,1
-1,6,-1,4,-1,0.33
-1,6,-1,5,-1,0.88
-1,6,-1,6,-1,0.5
-1,6,-1,7,-1,0.8
-1,6,-1,8,-1,1
-1,6,-1,9,-1,1
-1,6,-1,10,-1,1
-1,6,-1,11,-1,0.67
-1,6,1,0,1,1
-1,6,1,1,1,0.8
-1,6,1,2,1,0.5
-1,6,1,3,1,0.5
-1,6,1,4,1,0.67
-1,6,1,5,1,0.8
-1,6,1,6,1,1
-1,6,1,7,1,1
-1,6,1,8,1,1
-1,6,1,9,1,1
-1,6,1,10,1,1
-1,6,1,11,1,1
-1,6,1,0,-1,0.67
-1,6,1,1,-1,1
-1,6,1,2,-1,1
-1,6,1,3,-1,0.8
-1,6,1,4,-1,1
-1,6,1,5,-1,1
-1,6,1,6,-1,0.83
-1,6,1,7,-1,1
-1,6,1,8,-1,1
-1,6,1,9,-1,1
-1,6,1,10,-1,1
-1,6,1,11,-1,1
-1,8,-1,0,1,0.75
-1,8,-1,1,1,0.29
-1,8,-1,2,1,0.6
-1,8,-1,3,1,1
-1,8,-1,4,1,0.5
-1,8,-1,5,1,0.5
-1,8,-1,6,1,0.8
-1,8,-1,7,1,0.6
-1,8,-1,8,1,0.17
-1,8,-1,9,1,0.5
-1,8,-1,10,1,1
-1,8,-1,11,1,1
-1,8,-1,0,-1,0.43
-1,8,-1,1,-1,0.25
-1,8,-1,2,-1,0.25
-1,8,-1,3,-1,0.8
-1,8,-1,4,-1,0.5
-1,8,-1,5,-1,0.75
-1,8,-1,6,-1,1
-1,8,-1,7,-1,0.71
-1,8,-1,8,-1,0.8
-1,8,-1,9,-1,0.83
-1,8,-1,10,-1,1
-1,8,-1,11,-1,1
-1,8,1,0,1,0
-1,8,1,1,1,0.67
-1,8,1,2,1,0
-1,8,1,3,1,0
-1,8,1,4,1,0.67
-1,8,1,5,1,0
-1,8,1,6,1,0.8
-1,8,1,7,1,0.8
-1,8,1,8,1,0.5
-1,8,1,9,1,0.88
-1,8,1,10,1,1
-1,8,1,11,1,1
-1,8,1,0,-1,0.33
-1,8,1,1,-1,0.33
-1,8,1,2,-1,0
-1,8,1,3,-1,0
-1,8,1,4,-1,0.67
-1,8,1,5,-1,0.67
-1,8,1,6,-1,0.6
-1,8,1,7,-1,0.33
-1,8,1,8,-1,0.4
-1,8,1,9,-1,1
-1,8,1,10,-1,1
-1,8,1,11,-1,1
-1,10,-1,0,1,0.6
-1,10,-1,1,1,0.67
-1,10,-1,2,1,0.8
-1,10,-1,3,1,1
-1,10,-1,4,1,0.71
-1,10,-1,5,1,1
-1,10,-1,6,1,0.2
-1,10,-1,7,1,0.86
-1,10,-1,8,1,0.71
-1,10,-1,9,1,0
-1,10,-1,10,1,0.83
-1,10,-1,11,1,0.6
-1,10,-1,0,-1,0.8
-1,10,-1,1,-1,0.5
-1,10,-1,2,-1,0.67
-1,10,-1,3,-1,0.67
-1,10,-1,4,-1,0.6
-1,10,-1,5,-1,0.6
-1,10,-1,6,-1,0.57
-1,10,-1,7,-1,0.33
-1,10,-1,8,-1,0.67
-1,10,-1,9,-1,0.75
-1,10,-1,10,-1,0.83
-1,10,-1,11,-1,0.5
-1,10,1,0,1,0.6
-1,10,1,1,1,1
-1,10,1,2,1,1
-1,10,1,3,1,1
-1,10,1,4,1,1
-1,10,1,5,1,1
-1,10,1,6,1,1
-1,10,1,7,1,1
-1,10,1,8,1,1
-1,10,1,9,1,1
-1,10,1,10,1,1
-1,10,1,11,1,1
-1,10,1,0,-1,1
-1,10,1,1,-1,1
-1,10,1,2,-1,1
-1,10,1,3,-1,1
-1,10,1,4,-1,1
-1,10,1,5,-1,1
-1,10,1,6,-1,1
-1,10,1,7,-1,1
-1,10,1,8,-1,1
-1,10,1,9,-1,1
-1,10,1,10,-1,1
-1,10,1,11,-1,1
-1,12,-1,0,1,0.6
-1,12,-1,1,1,0.5
-1,12,-1,2,1,0.33
-1,12,-1,3,1,0.63
-1,12,-1,4,1,0.8
-1,12,-1,5,1,0.6
-1,12,-1,6,1,1
-1,12,-1,7,1,0.75
-1,12,-1,8,1,0.8
-1,12,-1,9,1,0.83
-1,12,-1,10,1,1
-1,12,-1,11,1,0.5
-1,12,-1,0,-1,0.5
-1,12,-1,1,-1,0.17
-1,12,-1,2,-1,0.8
-1,12,-1,3,-1,0.67
-1,12,-1,4,-1,0.8
-1,12,-1,5,-1,0.71
-1,12,-1,6,-1,1
-1,12,-1,7,-1,0.5
-1,12,-1,8,-1,0.67
-1,12,-1,9,-1,0.6
-1,12,-1,10,-1,0.57
-1,12,-1,11,-1,0.6
-1,12,1,0,1,0.4
-1,12,1,1,1,0.33
-1,12,1,2,1,0.43
-1,12,1,3,1,1
-1,12,1,4,1,0.2
-1,12,1,5,1,0.6
-1,12,1,6,1,0.75
-1,12,1,7,1,0.67
-1,12,1,8,1,0.2
-1,12,1,9,1,0.75
-1,12,1,10,1,0.2
-1,12,1,11,1,0.83
-1,12,1,0,-1,0.5
-1,12,1,1,-1,0.5
-1,12,1,2,-1,0.4
-1,12,1,3,-1,0.57
-1,12,1,4,-1,0.2
-1,12,1,5,-1,0.33
-1,12,1,6,-1,0.5
-1,12,1,7,-1,0.5
-1,12,1,8,-1,0.86
-1,12,1,9,-1,1
-1,12,1,10,-1,1
-1,12,1,11,-1,1
-1,14,-1,0,1,0.2
-1,14,-1,1,1,0.2
-1,14,-1,2,1,0.83
-1,14,-1,3,1,1
-1,14,-1,4,1,0.5
-1,14,-1,5,1,1
-1,14,-1,6,1,0.57
-1,14,-1,7,1,0.33
-1,14,-1,8,1,0.6
-1,14,-1,9,1,0.57
-1,14,-1,10,1,0.75
-1,14,-1,11,1,0.75
-1,14,-1,0,-1,0.57
-1,14,-1,1,-1,0.6
-1,14,-1,2,-1,1
-1,14,-1,3,-1,1
-1,14,-1,4,-1,0.5
-1,14,-1,5,-1,0.2
-1,14,-1,6,-1,0.4
-1,14,-1,7,-1,0.67
-1,14,-1,8,-1,0.5
-1,14,-1,9,-1,0.4
-1,14,-1,10,-1,0.75
-1,14,-1,11,-1,0.43
-1,14,1,0,1,0.6
-1,14,1,1,1,0.8
-1,14,1,2,1,1
-1,14,1,3,1,1
-1,14,1,4,1,0.75
-1,14,1,5,1,1
-1,14,1,6,1,0.67
-1,14,1,7,1,0.43
-1,14,1,8,1,1
-1,14,1,9,1,1
-1,14,1,10,1,1
-1,14,1,11,1,1
-1,14,1,0,-1,0.67
-1,14,1,1,-1,0.8
-1,14,1,2,-1,0.8
-1,14,1,3,-1,1
